Academic Year,Roll Number,Official School Name,Address 1,Address 2,Address 3,Address 4,Eircode,School Latitude,School Longitude,School Planning area,County,Local Authority,Principal Name,Email,Phone,Ethos/Religion,Post Primary School Type,Irish Classification - Post Primary,School Gender - Post Primary,Pupil Attendance Type,Fee Paying School (Y/N),Island Location (Y/N),Gaeltacht Area Location (Y/N),DEIS (Y/N),FEMALE,MALE,Total 2024-2025
2024.0,62530F,North Monastery Secondary School,Our Lady's Mount,North Monastery Rd.,Cork,,T23P825,51.908002,-8.480606,Gurranbraher_CorkCity,Cork,Cork City Council,MR. JAMES BOYLE,info@northmonastery.ie,0214301318,CATHOLIC,Secondary,No subjects taught through Irish,Mixed,Day,N,N,N,Y,31.0,252.0,283
2024.0,62531H,Gaelcholáiste Mhuire,Gaelcholáiste Mhuire (A.G.),An Mhainistir Thuaidh,Corcaigh,,T23WN77,51.909225,-8.480668,Gurranbraher_CorkCity,Cork,Cork City Council,MR. DONAL O'BUACHALLA,info@gcm.ie,0214307579,CATHOLIC,Secondary,All pupils taught all subjects through Irish,Mixed,Day,N,N,N,Y,324.0,359.0,683
2024.0,62540I,Coláiste Éamann Rís,St Patrick's Road,Cork,,,T12XT96,51.890029,-8.473751,Glasheen_CorkCity,Cork,Cork City Council,MR. AARON WOLFE,info@cercork.ie,0214962025,CATHOLIC,Secondary,No subjects taught through Irish,Mixed,Day,N,N,N,Y,311.0,449.0,760
2024.0,62560O,Coláiste Chríost Rí,"Capwell Road,","Turners Cross,",Cork.,,T12YF83,51.889626,-8.464471,Glasheen_CorkCity,Cork,Cork City Council,MR. PATRICK G MCAREE,info@ccrcork.com,0214274904,CATHOLIC,Secondary,Some pupils taught some subjects through Irish,Boys,Day,N,N,N,N,,506.0,506
2024.0,62570R,Presentation Brothers College,The Mardyke,Cork,,,T12VK49,51.897594,-8.485035,Glasheen_CorkCity,Cork,Cork City Council,MR. DAVID BARRY,info@pbc-cork.ie,0214272743,CATHOLIC,Secondary,No subjects taught through Irish,Boys,Day,Y,N,N,N,,698.0,698
2024.0,62580U,Coláiste an Spioraid Naoimh,Bishopstown,Cork,,,T12C938,51.882981,-8.517577,Glasheen_CorkCity,Cork,Cork City Council,MISS BRENDA BRIDGET MARY DUNNE,csnoffice@csncork.ie,0214543790,CATHOLIC,Secondary,No subjects taught through Irish,Boys,Day,N,N,N,N,,700.0,700
2024.0,62590A,St Vincent's Secondary School,St Mary's Road,Cork,,,T23NH01,51.906567,-8.478386,Gurranbraher_CorkCity,Cork,Cork City Council,MR. JAMES DEANE,info@stvincentscork.com,0214307730,CATHOLIC,Secondary,No subjects taught through Irish,Girls,Day,N,N,N,Y,256.0,,256
2024.0,62621I,Nano Nagle College,Farranree,Cork,,,T23WD99,51.91201,-8.485558,Gurranbraher_CorkCity,Cork,Cork City Council,MR. ADRIAN GIBBS,adriangibbs@nanonaglecollege.ie,0214303330,CATHOLIC,Secondary,No subjects taught through Irish,Mixed,Day,N,N,N,Y,80.0,56.0,136
2024.0,62630J,St Aloysius School,Sharman Crawford Street,Cork,,,T12RK03,51.895678,-8.482248,Glasheen_CorkCity,Cork,Cork City Council,MS. ALEXANDRIA SAVAGE,principal@stalscork.com,0214316017,CATHOLIC,Secondary,No subjects taught through Irish,Girls,Day,N,N,N,N,318.0,,318
2024.0,62640M,St. Angela's College,St. Patrick's Hill,Cork,,Cork,T23EA33,51.902863,-8.470368,Montenotte_CorkCity,Cork,Cork City Council,MR. PATRICK CURRAN,sac.cork@gmail.com,0214500059,CATHOLIC,Secondary,No subjects taught through Irish,Girls,Day,N,N,N,N,608.0,,608
2024.0,62650P,Ursuline College Blackrock,Blackrock,Cork,,,T12HR04,51.895751,-8.416103,Ballintemple_CorkCity,Cork,Cork City Council,MR. PATRICK MCBETH,administration@urscorkb.com,0214358012,CATHOLIC,Secondary,No subjects taught through Irish,Girls,Day,N,N,N,Y,359.0,,359
2024.0,62661U,Mount Mercy College,Model Farm Road,Cork,,,T12AD60,51.889898,-8.516914,Glasheen_CorkCity,Cork,Cork City Council,MS. PATRICIA RYAN,admin@mountmercy.ie,0214542366,CATHOLIC,Secondary,No subjects taught through Irish,Girls,Day,N,N,N,N,815.0,,815
2024.0,62690E,Scoil Mhuire,1-3 Sidney Place,Wellington Road,Cork,,T23PF76,51.902221,-8.468071,Montenotte_CorkCity,Cork,Cork City Council,MRS. REGINA BUTLER,info@scoilmhuirecork.ie,0214501844,CATHOLIC,Secondary,No subjects taught through Irish,Girls,Day,Y,N,N,N,429.0,,429
2024.0,62691G,Regina Mundi College,Douglas Road,Cork,,,T12HN93,51.883151,-8.443819,Ballintemple_CorkCity,Cork,Cork City Council,MS. YVONNE LUCEY,info@reginamundicork.ie,0214291681,CATHOLIC,Secondary,No subjects taught through Irish,Girls,Day,N,N,N,N,562.0,,562
2024.0,62692I,Christ King Girls' Secondary School,Half Moon Lane,South Douglas Road,Cork,,T12R22C,51.88427,-8.462222,Ballintemple_CorkCity,Cork,Cork City Council,MS. RICHEL LONG,admin@christkingschool.com,0214961448,CATHOLIC,Secondary,No subjects taught through Irish,Girls,Day,N,N,N,N,703.0,,703
2024.0,62693K,Presentation Secondary School,Joe Murphy Road,Ballyphehane,Cork,,T12YH04,51.883846,-8.478417,Glasheen_CorkCity,Cork,Cork City Council,MR. BARRY O'SHEA,admin@presballyphehane.com,0214961765,CATHOLIC,Secondary,No subjects taught through Irish,Mixed,Day,N,N,N,Y,157.0,7.0,164
2024.0,62730N,St Patricks College,Gardiner's Hill,Cork,,,T23HX04,51.908326,-8.454949,Montenotte_CorkCity,Cork,Cork City Council,MR. BRIAN CRONIN,office@stpatrickscork.org,0214503055,CATHOLIC,Secondary,No subjects taught through Irish,Mixed,Day,N,N,N,Y,187.0,14.0,201
2024.0,62770C,Scoil Mhuire Secondary School,St. Oran's Road,Buncrana,Co. Donegal,,F93PN53,55.131336,-7.458074,Buncrana,Donegal,Donegal County Council,MS. EVELYN MC LOUGHLIN,info@scoilmhuirebuncrana.ie,0749361065,CATHOLIC,Secondary,No subjects taught through Irish,Mixed,Day,N,N,N,Y,421.0,454.0,875
2024.0,62830R,St Eunan's College,Letterkenny,Co Donegal,,,F92RR71,54.951993,-7.745485,Letterkenny,Donegal,Donegal County Council,MR. DAMIEN JAMES MC CROARY,info@sainteunans.com,0749121143,CATHOLIC,Secondary,No subjects taught through Irish,Boys,Day,N,N,N,N,,1014.0,1014
2024.0,62840U,Loreto Secondary School,Letterkenny,Co Donegal,,,F92X981,54.95019,-7.741206,Letterkenny,Donegal,Donegal County Council,SR. GERALDINE MULLEN,info@loretoletterkenny.ie,0749121850,CATHOLIC,Secondary,No subjects taught through Irish,Girls,Day,N,N,N,N,944.0,,944
2024.0,62861F,St Columbas College,Stranorlar,Co. Donegal,,,F93KN62,54.804345,-7.774472,Stranorlar,Donegal,Donegal County Council,MR. THOMAS ROWAN,admin@stcolumbasstranorlar.ie,0749131246,CATHOLIC,Secondary,No subjects taught through Irish,Mixed,Day,N,N,N,N,470.0,479.0,949
2024.0,62870G,Presentation College,"Ballygarraun South,","Athenry,",Co Galway,,H65VA49,53.298286,-8.761993,Athenry,Galway,Galway County Council,MR. CATHAL MOORE,office@presathenry.ie,091844144,CATHOLIC,Secondary,No subjects taught through Irish,Mixed,Day,N,N,N,N,553.0,528.0,1081
2024.0,62880J,Colaiste Sheosaimh,Gearrbhaile,Beál Átha na Slua,Co na Gaillimhe,,H53R273,53.323749,-8.249219,Ballinasloe,Galway,Galway County Council,MR. PAUL WALSH,garbally.college@gmail.com,0909642504,CATHOLIC,Secondary,No subjects taught through Irish,Boys,Day,N,N,N,N,,460.0,460
2024.0,62890M,Ardscoil Mhuire,Mackney,Ballinasloe,Co Galway,,H53CP40,53.322304,-8.246749,Ballinasloe,Galway,Galway County Council,PAURIC HANLON,shughes@ardscoilmhuire.ie,0909642206,CATHOLIC,Secondary,No subjects taught through Irish,Girls,Day,N,N,N,Y,481.0,,481
2024.0,62900M,Coláiste Mhuire,Ballygar,Co. Galway,,,F42D265,53.524244,-8.321261,Ballygar,Galway,Galway County Council,MS. EMMA TURLEY,info@cmballygar.ie,0906624740,CATHOLIC,Secondary,No subjects taught through Irish,Mixed,Day,N,N,N,N,147.0,147.0,294
2024.0,62930V,St. Cuan's College,Castleblakeney,Ballinasloe,Co Galway,,H53AN80,53.428697,-8.473183,Castleblakeney_Mountbellew,Galway,Galway County Council,MS. COLLETTE KENNEDY,stcuanscollege@stcuans.ie,0909678127,CATHOLIC,Secondary,No subjects taught through Irish,Mixed,Day,N,N,N,N,200.0,210.0,410
2024.0,62960H,St Joseph's College,Nun's Island,Galway,,,H91C3X5,53.272593,-9.058094,Galway City,Galway,Galway City Council,MS. SARAH THERESA GLEESON,Office@bish.ie,091565980,CATHOLIC,Secondary,No subjects taught through Irish,Boys,Day,N,N,N,N,,767.0,767
2024.0,62970K,Coláiste Iognáid S.J.,Br. Na Mara,Gaillimh,,,H91N732,53.26996,-9.061383,Galway City,Galway,Galway City Council,MR. DAVID O'SULLIVAN,admin@colaisteiognaid.ie,091501550,CATHOLIC,Secondary,Some pupils taught some subjects through Irish,Mixed,Day,N,N,N,N,281.0,355.0,636
2024.0,62981P,Coláiste Einde,Threadneedle Road,Salthill,Galway,,H91X798,53.265705,-9.089665,Galway City,Galway,Galway City Council,MISS URSULA DIAMOND,info@colaisteeinde.ie,091521407,CATHOLIC,Secondary,No subjects taught through Irish,Mixed,Day,N,N,N,Y,327.0,479.0,806
2024.0,62990Q,Dominican College,Taylors Hill,Galway,,,H91C573,53.268575,-9.076906,Galway City,Galway,Galway City Council,MR. ALAN KINSELLA,office@taylorshill.ie,091523171,CATHOLIC,Secondary,No subjects taught through Irish,Girls,Day,N,N,N,N,601.0,,601
2024.0,63001G,Jesus & Mary Secondary School,Threadneedle Road,Salthill,Galway,,H91D9H3,53.263809,-9.089557,Galway City,Galway,Galway City Council,MS. ANN MARIE FLANNERY,admin@salerno.ie,091529500,CATHOLIC,Secondary,No subjects taught through Irish,Girls,Day,N,N,N,N,666.0,,666
2024.0,63040Q,Presentation College,Headford,Co. Galway,,,H91D516,53.468371,-9.110354,Headford,Galway,Galway County Council,MISS FIONA MARY GALLAGHER,office@presheadford.ie,09335408,CATHOLIC,Secondary,No subjects taught through Irish,Mixed,Day,N,N,N,N,383.0,462.0,845
2024.0,63050T,Seamount College,Kinvara,Co Galway,,,H91N5P2,53.138747,-8.935411,Kinvara,Galway,Galway County Council,MS. MAIGHREAD MHIC DHOMHNAILL,principal@seamountcollege.ie,091 637362,CATHOLIC,Secondary,No subjects taught through Irish,Mixed,Day,N,N,N,N,352.0,276.0,628
2024.0,63070C,St Raphaels College,Loughrea,Co Galway,,,H62K271,53.197706,-8.5627,Loughrea,Galway,Galway County Council,MR. THOMAS CAFFERKY,ann.moran@saintraphaels.ie,0872959381,CATHOLIC,Secondary,No subjects taught through Irish,Mixed,Day,N,N,N,N,344.0,397.0,741
2024.0,63090I,Holy Rosary College,Mountbellew,Co Galway,,,H53VN50,53.469752,-8.497492,Castleblakeney_Mountbellew,Galway,Galway County Council,MR. THOMAS CREHAN,info@hrc.ie,0909679222,CATHOLIC,Secondary,No subjects taught through Irish,Mixed,Day,N,N,N,N,386.0,341.0,727
2024.0,63100I,Calasanctius College,Innplot,Oranmore,,,H91K7H2,53.267583,-8.933209,Oranmore,Galway,Galway County Council,MISS MARY CONLON,admin@calasanctius.ie,091794564,CATHOLIC,Secondary,No subjects taught through Irish,Mixed,Day,N,N,N,N,429.0,496.0,925
2024.0,63101K,St Pauls,Oughterard,Co Galway,,,H91PT86,53.430087,-9.32835,Oughterard,Galway,Galway County Council,MS. LINDA O'HARA,admin@stpaulsoughterard.ie,091552689,CATHOLIC,Secondary,No subjects taught through Irish,Mixed,Day,N,N,N,N,237.0,242.0,479
2024.0,63130R,Colaiste Chroi Mhuire,An Spideal,Co Na Gaillimhe,,,H91V963,53.243757,-9.307488,Spiddal_Inverin,Galway,Galway County Council,MS. TRIONA UI MHURCHU,oifig@ccm.ie,091553113,CATHOLIC,Secondary,All pupils taught all subjects through Irish,Mixed,Day,N,N,Y,N,137.0,130.0,267
2024.0,63171I,Mercy College,Woodford,Loughrea,Co. Galway,,H62N968,53.049012,-8.397263,Woodford,Galway,Galway County Council,MR. LIAM CONWAY,admin@mercycollegewoodford.ie,0909749076,CATHOLIC,Secondary,No subjects taught through Irish,Mixed,Day,N,N,N,N,85.0,77.0,162
2024.0,63190M,Marist College,Retreat Road,Athlone,Co. Westmeath,,N37RX31,53.425156,-7.92629,Athlone,Westmeath,Westmeath County Council,MR. MICHAEL DERMODY,principal@maristathlone.net,0906474491,CATHOLIC,Secondary,No subjects taught through Irish,Boys,Day,N,N,N,N,,608.0,608
2024.0,63210P,Our Lady's Bower,Retreat Rd.,Athlone,Co Westmeath,,N37TR58,53.422456,-7.922146,Athlone,Westmeath,Westmeath County Council,MS. ANNE BEADES,contact@ourladysbower.com,0906474777,CATHOLIC,Secondary,No subjects taught through Irish,Girls,Day,N,N,N,N,638.0,,638
2024.0,63221U,Meán Scoil an Chlochair,Kilbeggan,Co. Westmeath,,,N91HDH2,53.368019,-7.484084,Kilbeggan,Westmeath,Westmeath County Council,MR. GARRETT FARRELL,info@mercykilbeggan.ie,0579332292,CATHOLIC,Secondary,No subjects taught through Irish,Mixed,Day,N,N,N,N,341.0,379.0,720
2024.0,63270K,"Colaiste Mhuire,",Mullingar,Co. Westmeath,,,N91AT04,53.527279,-7.346872,Mullingar,Westmeath,Westmeath County Council,MR. KEITH QUINN,reception@cbsmullingar.ie,0449344743,CATHOLIC,Secondary,No subjects taught through Irish,Mixed,Day,N,N,N,N,,835.0,835
2024.0,63280N,St Finian's College,Longford Road,Ballyglass,Mullingar,Co Westmeath,N91H593,53.539018,-7.355282,Mullingar,Westmeath,Westmeath County Council,MR. JOHN MCHALE,secretary@stfinianscollege.ie,0449348672,CATHOLIC,Secondary,No subjects taught through Irish,Mixed,Day,N,N,N,N,463.0,414.0,877
2024.0,63290Q,Loreto College,Harbour Rd,Mullingar,Westmeath,,N91PX98,53.529699,-7.346149,Mullingar,Westmeath,Westmeath County Council,MS. OLIVIA CALLAGHAN,info@loretomullingar.com,0449342055,CATHOLIC,Secondary,No subjects taught through Irish,Girls,Day,N,N,N,N,839.0,,839
2024.0,63300Q,Wilson's Hospital School,Heathlands,Multyfarnham,Co. Westmeath,,N91AX97,53.6117,-7.417284,Mullingar,Westmeath,Westmeath County Council,MR. FRANCIS MILLING,reception@whs.ie,0449371115,CHURCH OF IRELAND,Secondary,No subjects taught through Irish,Mixed,Mixed,N,N,N,N,234.0,196.0,430
2024.0,63310T,St Joseph's Secondary School,Rochfortbridge,Co. Westmeath,,,N91XV56,53.414234,-7.302234,Rochfordbridge,Westmeath,Westmeath County Council,MS. MARGARET COLE,office@mercyrochfortbridge.ie,0449225900,CATHOLIC,Secondary,No subjects taught through Irish,Mixed,Day,N,N,N,N,555.0,570.0,1125
2024.0,63430G,St. Mary's C.B.S.,Borris Road,Portlaoise,Co. Laois,,R32C923,53.049875,-7.2793,Portlaoise,Laois,Laois County Council,MRS. MAURA MURPHY,mmurphy@portlaoisecbs.com,0578635041,CATHOLIC,Secondary,No subjects taught through Irish,Boys,Day,N,N,N,N,,806.0,806
2024.0,63451O,Scoil Chriost Ri,Presentation Secondary School,Borris Road,Portlaoise,Co Laois,R32TK70,53.048767,-7.280179,Portlaoise,Laois,Laois County Council,MR. SEAN SMYTH,office@scrpl.ie,0578668002,CATHOLIC,Secondary,No subjects taught through Irish,Girls,Day,N,N,N,N,802.0,,802
2024.0,63550Q,F.C.J. Secondary School,Bunclody,Enniscorthy,Co Wexford,,Y21K284,52.656315,-6.646386,Bunclody,Wexford,Wexford County Council,MR. BRENDAN PATRICK DALY,office@fcjbunclody.ie,0539377308,CATHOLIC,Secondary,No subjects taught through Irish,Mixed,Day,N,N,N,N,536.0,499.0,1035
2024.0,63560T,St. Mary's C.B.S.,Mill Park Road,Enniscorthy,Co Wexford,,Y21YK35,52.497448,-6.569228,Enniscorthy,Wexford,Wexford County Council,MR BRENDAN O'SULLIVAN,admin@cbsenniscorthy.ie,0539234330,CATHOLIC,Secondary,No subjects taught through Irish,Boys,Day,N,N,N,N,,772.0,772
2024.0,63570W,Coláiste Bríde,Enniscorthy,Co Wexford,,,Y21EF82,52.502817,-6.55919,Enniscorthy,Wexford,Wexford County Council,MS. CATHERINE KIERA O'SULLIVAN,office@colaistebride.ie,0539234245,CATHOLIC,Secondary,No subjects taught through Irish,Girls,Day,N,N,N,Y,753.0,,753
2024.0,63600F,Christian Brothers Secondary School,Mountgarrett,New Ross,Co Wexford,,Y34WR12,52.398542,-6.940958,New Ross,Wexford,Wexford County Council,MS. SARAH A RICE,secretary@cbsnewross.ie,051421384,CATHOLIC,Secondary,No subjects taught through Irish,Mixed,Day,N,N,N,Y,152.0,261.0,413
2024.0,63610I,Good Counsel College,New Ross,Co Wexford,,,Y34R297,52.39583,-6.931456,New Ross,Wexford,Wexford County Council,MR. MARK EDWARD O'BRIEN,info@goodcounselcollege.ie,051421182,CATHOLIC,Secondary,No subjects taught through Irish,Boys,Day,N,N,N,N,,763.0,763
2024.0,63620L,St. Mary's Secondary School,Irishtown,New Ross,,,Y34XR63,52.399489,-6.930871,New Ross,Wexford,Wexford County Council,MR. JOHN MICHAEL PORTER,stmarysnewrossinfo@gmail.com,051421637,CATHOLIC,Secondary,No subjects taught through Irish,Girls,Day,N,N,N,N,713.0,,713
2024.0,63630O,Our Lady of Lourdes Secondary School,Rosbercon,New Ross,Co Wexford,,Y34FT82,52.398297,-6.953164,New Ross,Wexford,Wexford County Council,MISS ANTONIO ORMOND,secretary@olol.ie,051422177,CATHOLIC,Secondary,No subjects taught through Irish,Girls,Day,N,N,N,N,194.0,,194
2024.0,63640R,Christian Brothers Secondary School,Thomas St,Wexford,,,Y35XV02,52.333533,-6.463421,Wexford,Wexford,Wexford County Council,MR. MICHAEL B MCMAHON,admin@wexfordcbs.ie,0539141391,CATHOLIC,Secondary,No subjects taught through Irish,Boys,Day,N,N,N,N,,721.0,721
2024.0,63650U,St Peter's College,Summerhill,Wexford,,,Y35P8WT,52.335051,-6.472301,Wexford,Wexford,Wexford County Council,MR. JOHN BANVILLE,office@stpeterscollege.ie,0539142071,CATHOLIC,Secondary,No subjects taught through Irish,Boys,Day,N,N,N,N,,784.0,784
2024.0,63660A,Loreto Secondary School,Pembroke Hill,Ballynagee,Wexford.,,Y35WT28,52.322869,-6.48575,Wexford,Wexford,Wexford County Council,MR. JOHN MC GINNITY,principal@loretowexford.com,0539146162,CATHOLIC,Secondary,No subjects taught through Irish,Girls,Day,N,N,N,N,930.0,,930
2024.0,63661C,Presentation Secondary School,Grogan's Road,Co. Wexford,Y35 XV70,,Y35XV70,52.336022,-6.46457,Wexford,Wexford,Wexford County Council,MR. WILLIAM RYAN,generaloffice@preswex.ie,0539124133,CATHOLIC,Secondary,No subjects taught through Irish,Girls,Day,N,N,N,N,981.0,,981
2024.0,63710M,Mercy Secondary School,Ballymahon,Co Longford,,,N39P8C5,53.567323,-7.764913,Ballymahon,Longford,Longford County Council,MISS JOSEPHINE DONOGHUE,principal@mercyballymahon.ie,0906432267,CATHOLIC,Secondary,No subjects taught through Irish,Mixed,Day,N,N,N,N,400.0,360.0,760
2024.0,63730S,Cnoc Mhuire,Granard,Co. Longford,,,N39D450,53.780364,-7.488724,Granard,Longford,Longford County Council,MS. PAULINE MCBRIEN,office@cnocmhuiregranard.ie,0436686231,CATHOLIC,Secondary,No subjects taught through Irish,Mixed,Day,N,N,N,N,260.0,287.0,547
2024.0,63750B,St. Mel's College,Longford,Co. Longford,,,N39XP92,53.728993,-7.793771,Longford_Newtownforbes,Longford,Longford County Council,MR. MALACHY FLANAGAN,stmels@stmelscollege.ie,0433346469,CATHOLIC,Secondary,No subjects taught through Irish,Boys,Day,N,N,N,Y,,603.0,603
2024.0,63760E,Meán Scoil Muire,5 St. Joseph's Road,Longford Town,Co. Longford,,N39H6R2,53.725613,-7.796149,Longford_Newtownforbes,Longford,Longford County Council,MS. SIOBHAN CATHERINE CULLEN,info@scoilmhuirelongford.ie,0433346608,CATHOLIC,Secondary,No subjects taught through Irish,Girls,Day,N,N,N,Y,607.0,,607
2024.0,63840C,St. Joseph's C.B.S.,Newfoundwell Rd,Drogheda,Co Louth,,A92EC62,53.724209,-6.331242,Drogheda,Louth,Louth County Council,MR. PAUL MICHAEL SAVAGE,info@droghedacbs.ie,0419837232,CATHOLIC,Secondary,No subjects taught through Irish,Mixed,Day,N,N,N,N,115.0,942.0,1057
2024.0,63841E,St Mary's Diocesan School,Beamore Road,Drogheda,Co. Louth,,A92TF24,53.708474,-6.347505,Drogheda,Louth,Louth County Council,MS. CATHERINA MCNICHOLAS,office@stmarysds.ie,0419837581,CATHOLIC,Secondary,No subjects taught through Irish,Boys,Day,N,N,N,N,,915.0,915
2024.0,63850F,Our Lady's College,Greenhills,Drogheda,Co. Louth,,A92VP28,53.720359,-6.326852,Drogheda,Louth,Louth County Council,MRS. GERALDINE MULVIHILL,office@ourladys.ie,0419831219,CATHOLIC,Secondary,No subjects taught through Irish,Girls,Day,N,N,N,N,973.0,,973
2024.0,63860I,Sacred Heart Secondary School,Sunnyside,Drogheda,Co Louth,,A92K796,53.711215,-6.342977,Drogheda,Louth,Louth County Council,MRS. LEONI CARROLL,mhoey@sacredheart.ie,0419837812,CATHOLIC,Secondary,No subjects taught through Irish,Girls,Day,N,N,N,N,706.0,,706
2024.0,63870L,Drogheda Grammar School,Mornington Road,Drogheda,Co Louth,,A92D9KF,53.718767,-6.303705,Drogheda,Louth,Louth County Council,MR. HUGH BAKER,info@droghedagrammarschool.ie,0419838281,QUAKER,Secondary,No subjects taught through Irish,Mixed,Day,Y,N,N,N,228.0,325.0,553
2024.0,63880O,Colaiste Rís,Sráid an tSéipéil,Dún Dealgan,Co Lú,,A91N798,54.007401,-6.400578,Dundalk,Louth,Louth County Council,MS. CATHERINE MULHERN,priomhoide@colaisteris.ie,0429334336,CATHOLIC,Secondary,Some pupils taught all subjects through Irish,Mixed,Day,N,N,N,N,243.0,379.0,622
2024.0,63890R,St Mary's College,"St.Marys College,","St. Marys Road,",Dundalk,Co.Louth,A91W838,54.009212,-6.39794,Dundalk,Louth,Louth County Council,MR. ALAN GERARD CRAVEN,office@maristdundalk.ie,0429339977,CATHOLIC,Secondary,No subjects taught through Irish,Mixed,Day,N,N,N,N,370.0,535.0,905
2024.0,63891T,De La Salle College,Castleblayney Road,Dundalk,Co. Louth,,A91FC91,54.016732,-6.42796,Dundalk,Louth,Louth County Council,MS. NICOLA CONNOLLY,secretary@delasalle.ie,0429331179,CATHOLIC,Secondary,No subjects taught through Irish,Mixed,Day,N,N,N,N,,760.0,760
2024.0,63900R,St Vincent's Secondary School,Seatown Place,Dundalk,Co. Louth,,A91EW81,54.005433,-6.39204,Dundalk,Louth,Louth County Council,MRS. DEIRDRE MATTHEWS,principal@stv.ie,0877434395,CATHOLIC,Secondary,No subjects taught through Irish,Girls,Day,N,N,N,N,927.0,,927
2024.0,63910U,St Louis Secondary School,Dun Lughaidh,Dundalk,Co Louth,,A91AE65,54.01704,-6.426066,Dundalk,Louth,Louth County Council,MRS. MICHELLE DOLAN,info@stlouisdundalk.ie,0429334474,CATHOLIC,Secondary,No subjects taught through Irish,Girls,Day,N,N,N,Y,498.0,,498
2024.0,63920A,Dundalk Grammar School,The Crescent,Dundalk,Co Louth,,A91FH00,53.997516,-6.410449,Dundalk,Louth,Louth County Council,MR. JONATHAN GRAHAM,records@dgs.ie,0429334459,CHURCH OF IRELAND,Secondary,No subjects taught through Irish,Mixed,Mixed,Y,N,N,N,256.0,334.0,590
2024.0,64130W,Scoil Pól,Kilfinane,Co. Limerick,,,V35YH27,52.361494,-8.471411,Kilfinane,Limerick,Limerick County Council,MICHAEL O'HARA,secretary@scoilpol.ie,06391197,CATHOLIC,Secondary,No subjects taught through Irish,Mixed,Day,N,N,N,N,370.0,351.0,721
2024.0,64150F,Glenstal Abbey School,Murroe,Co Limerick,,,V94HC84,52.660976,-8.388463,Newport,Limerick,Limerick County Council,MR. MARIUS CARNEY,administration@glenstal.com,061621010,CATHOLIC,Secondary,No subjects taught through Irish,Boys,Mixed,Y,N,N,N,,202.0,202
2024.0,64170L,Scoil Mhuire & Íde,Boherbui,Newcastle West,Co Limerick,,V42RT27,52.446156,-9.06061,Newcastlewest,Limerick,Limerick County Council,MS. MICHELLE THOMPSON,info@smincw.ie,06962443,CATHOLIC,Secondary,No subjects taught through Irish,Mixed,Day,N,N,N,N,388.0,383.0,771
2024.0,64180O,Salesian Secondary College,Don Bosco Road,Pallaskenry,Co Limerick,,V94WP86,52.647198,-8.857338,Askeaton/Foynes/Shanagolden/Pallaskenry,Limerick,Limerick County Council,MR. KEITH O'RAHILLY,secretary@salesiancollege.ie,061393105,CATHOLIC,Secondary,No subjects taught through Irish,Mixed,Day,N,N,N,N,340.0,392.0,732
2024.0,64200R,Colaiste Mhichil,Sexton Street,Limerick,,,V94NF25,52.659193,-8.621261,Limerick City,Limerick,Limerick City Council,MR. DENIS O CONNOR,info@cbssextonstreet.ie,061416628,CATHOLIC,Secondary,No subjects taught through Irish,Boys,Day,N,N,N,Y,,346.0,346
2024.0,64201T,Ardscoil Ris,North Circular Rd,Limerick,,,V94V602,52.665416,-8.641245,Limerick City,Limerick,Limerick City Council,MR. THOMAS EDWARD PRENDERGAST,asroffice@ardscoil.com,061453828,CATHOLIC,Secondary,No subjects taught through Irish,Boys,Day,N,N,N,N,,747.0,747
2024.0,64220A,St Clements College,Laurel Hill Avenue,South Circular Road,Limerick,,V94HP44,52.655869,-8.638258,Limerick City,Limerick,Limerick City Council,MICHAEL O CONNOR,admin@stclements.ie,061315878,CATHOLIC,Secondary,No subjects taught through Irish,Boys,Day,N,N,N,Y,,411.0,411
2024.0,64240G,St Munchin's College,Corbally,Limerick,,,V94HXW5,52.681994,-8.614302,Limerick City,Limerick,Limerick City Council,MR. SHANE FITZGERALD,office@stmunchinscollege.ie,061348922,CATHOLIC,Secondary,No subjects taught through Irish,Boys,Day,N,N,N,N,,662.0,662
2024.0,64250J,Coláiste Nano Nagle,Sexton Street,Limerick,,,V94YW24,52.660177,-8.622251,Limerick City,Limerick,Limerick City Council,MS. SINEAD MOLONEY,office@cnnlimerick.ie,061410390,CATHOLIC,Secondary,No subjects taught through Irish,Mixed,Day,N,N,N,Y,356.0,,356
2024.0,64260M,Laurel Hill Secondary School FCJ,Laurel Hill Secondary School FCJ,South Circular Road,Limerick,,V94D2Y5,52.654991,-8.639504,Limerick City,Limerick,Limerick City Council,MR. JAMES COLLINS,principal@laurelhillfcj.ie,061319383,CATHOLIC,Secondary,No subjects taught through Irish,Girls,Day,N,N,N,N,725.0,,725
2024.0,64270P,Laurel Hill Coláiste FCJ,Cnoc Na Labhras,Luimneach,,,V94CR26,52.655128,-8.638703,Limerick City,Limerick,Limerick City Council,MS. UNA GRIFFIN,principal@laurelhillcolaistefcj.ie,061313636,CATHOLIC,Secondary,All pupils taught all subjects through Irish,Girls,Day,N,N,N,N,343.0,,343
2024.0,64290V,Ardscoil Mhuire,Corbally,Limerick,,,V94X47D,52.670029,-8.61452,Limerick City,Limerick,Limerick City Council,MISS BRID HERBERT,info@asmlimerick.ie,061349014,CATHOLIC,Secondary,No subjects taught through Irish,Girls,Day,N,N,N,Y,574.0,,574
